plot	den	ab	vol	anho	treat
1	1335	41,55	400,06	2013	LRBA
1	1455	45,26	437,64	2018	LRBA
1	1455	48,18	461,31	2021	LRBA
3	1490	42,78	329,23	2013	LRBA
3	1545	48,53	370,54	2021	LRBA
3	1665	47,13	367,57	2018	LRBA
5	1150	42,53	282,79	2013	LRBA
5	1270	48,31	321,40	2021	LRBA
5	1280	46,37	307,31	2018	LRBA
7	1490	43,94	305,79	2013	LRBA
7	1580	48,83	333,66	2021	LRBA
7	1610	48,36	331,72	2018	LRBA
2	1905	57,72	438,72	2013	HRBA
2	2015	62,81	487,47	2018	HRBA
2	2020	65,49	510,68	2021	HRBA
4	1160	60,10	467,54	2013	HRBA
4	1195	64,12	461,87	2021	HRBA
4	1245	64,94	511,57	2018	HRBA
6	1585	54,73	338,64	2013	HRBA
6	1685	58,66	363,11	2018	HRBA
6	1685	60,92	401,03	2021	HRBA
8	1420	60,78	420,67	2013	HRBA
8	1515	67,09	459,17	2021	HRBA
8	1520	65,06	450,17	2018	HRBA
